=Epoch=Loss
0=0=1.847443573882343
1=1=1.5750182579351077
2=2=1.4614568036092621
3=3=1.3732315493235687
4=4=1.2951228010186422
5=5=1.2334504709095107
6=6=1.1826300365682563
7=7=1.124031674022212
8=8=1.0845692606500885
9=9=1.0261766311753429
10=10=0.9917079138012461
11=11=0.9469436707177283
12=12=0.9120924235353844
13=13=0.8811759903992571
14=14=0.8497906525470919
15=15=0.813015276716708
16=16=0.784634454421028
17=17=0.7524773492273502
18=18=0.7235400914182288
19=19=0.7001339045738237
20=20=0.6717657196329042
21=21=0.6418306341622774
22=22=0.6246244948331533
23=23=0.5972871209126972
24=24=0.5809086823435909
25=25=0.5592906222470088
26=26=0.5400740575501329
27=27=0.5160730532080141
28=28=0.4955600594400534
29=29=0.47661370094048233
30=30=0.46421107687658303
31=31=0.4446292385183636
32=32=0.43789502069801434
33=33=0.41432181692426256
34=34=0.4026198275989528
35=35=0.38464426729337725
36=36=0.37231551090096215
37=37=0.35889546576603454
38=38=0.34419383956915234
39=39=0.33555013338839484
40=40=0.3224321526860255
41=41=0.3125604226944353
42=42=0.3050488530557095
43=43=0.2920519940675544
44=44=0.2784721112657364
45=45=0.2731639118241383
46=46=0.2637892515155515
47=47=0.25257353999116405
48=48=0.23866861255078062
49=49=0.2345224327427135
