=Epoch=Loss
0=0=1.8371192182459402
1=1=1.5702487187627832
2=2=1.4577416718419098
3=3=1.3701976558352729
4=4=1.2922255336963002
5=5=1.2328133559667487
6=6=1.1802696768736454
7=7=1.1225360248573382
8=8=1.0834959539612776
9=9=1.0238007421994595
10=10=0.9887887912589463
11=11=0.9458376516783761
12=12=0.9104099937179072
13=13=0.8801698680562731
14=14=0.8475495140147815
15=15=0.8110379352993558
16=16=0.781656154997079
17=17=0.7500661338311695
18=18=0.722068909409415
19=19=0.699467947246296
20=20=0.6704980995652307
21=21=0.6411212901939696
22=22=0.6221168181637419
23=23=0.5966729127713769
24=24=0.5787953628747623
25=25=0.558439146735927
26=26=0.5373845306885435
27=27=0.5153706082708566
28=28=0.4935677339587421
29=29=0.476556771828451
30=30=0.4612031777585076
31=31=0.44326567395179434
32=32=0.436839849668755
33=33=0.4112557507277086
34=34=0.3998465259961663
35=35=0.3819633450436537
36=36=0.370683854570565
37=37=0.3594658040972835
38=38=0.34261748671325193
39=39=0.33556971427130644
40=40=0.3201109323366685
41=41=0.31186572969923393
42=42=0.30159072904884127
43=43=0.29141449439608197
44=44=0.2774645685117184
45=45=0.2695333358356363
46=46=0.2608092529978818
47=47=0.24758699075179066
48=48=0.23671052854413524
49=49=0.23513337475942409
